Data,Saldo Glovo,Paliwo (zł),Litry,Dystans (km),Spalanie (l/100km),Stawka brutto (zł/km),Stawka netto (zł/km),Brutto,"Składki i podatek (18,6%)",Napiwki (gotówka),"Netto (81,4% + napiwki)",Do przelewu (bez napiwków),Praca od,Praca do,Godziny przepracowane,Stawka godzinowa brutto (zł/h),Stawka godzinowa netto (zł/h),Pobrania (portfel),Wypłaty (portfel),Wypłata gotówką (portfel),Płatność w punkcie (portfel),Korekty (portfel)
2026-08-15,"34,51",,,20,,"2,6","2,12","52,06","9,68",,"42,38","42,38",10:10,11:50,"1,67","31,17","25,38",0,0,0,0,0
2026-08-14,"-28,13",,,,,,,"367,7","68,39","1,16","300,47","299,31",12:10,19:27,"7,28","50,51","41,27","181,84",0,0,"-187,16",0
2026-08-13,"-22,81",,,,,,,136,"25,3",,"110,7","110,7",15:30,18:40,"3,17","42,9","34,92",0,0,0,0,0
2026-08-12,"-22,81",,,,,,,"168,23","31,29",,"136,94","136,94",16:05,19:53,"3,8","44,27","36,04","299,36",0,0,"-31,5",0
2026-08-11,"-290,67",,,,,,,,,,,,,,,,,0,0,0,0,0
2026-08-10,"-290,67",,,,,,,"219,65","40,85",,"178,8","-1,8",16:05,20:23,"4,3","51,08","41,58","63,34","-180,6",0,"-351,37",0
2026-08-09,"177,96",,,,,,,"564,86","105,06",,"459,8","248,62",12:05,19:27,"7,37","76,64","62,39","380,6","-211,18",-200,0,0
2026-08-08,"208,54",,,,,,,"536,4","99,77",,"436,63","248,06",09:10,21:11,"12,02","44,63","36,33","311,46","-188,57",-110,0,0
2026-08-07,"195,65",,,,,,,"258,18","48,02",,"210,16","35,27",15:10,20:01,"4,85","53,23","43,33","198,29","-174,89",0,0,0
2026-08-06,"172,25","109,73","14,69",,,,,"265,09","49,31",,"215,78","215,78",15:15,20:28,"5,22","50,78","41,34","174,89",0,0,0,0
2026-08-05,"-2,64",,,,,,,,,,,,,,,,,0,"-7,02",0,0,0
2026-08-04,"4,38",,,,,,,,,,,,,,,,,,,,,
