Data,Godzina,Typ,Kwota,ID transakcji,Dodano
2026-08-15,04:40,wyplata,0,,2026-08-15
2026-08-14,18:02,pobranie,"38,86",101743091661,2026-08-15
2026-08-14,14:42,pobranie,"142,98",101742873421,2026-08-15
2026-08-14,13:41,platnosc_punkt,"-147,57",101742821048,2026-08-15
2026-08-14,12:24,platnosc_punkt,"-39,59",101742747727,2026-08-15
2026-08-14,04:46,wyplata,0,,2026-08-15
2026-08-13,04:41,wyplata,0,,2026-08-15
2026-08-12,19:53,pobranie,"119,98",101741347486,2026-08-15
2026-08-12,18:42,pobranie,"31,5",101741288596,2026-08-15
2026-08-12,18:22,platnosc_punkt,"-31,5",101741288596,2026-08-15
2026-08-12,16:57,pobranie,"147,88",101741191819,2026-08-15
2026-08-11,04:40,wyplata,0,,2026-08-15
2026-08-10,20:14,platnosc_punkt,"-255,69",101739514634,2026-08-15
2026-08-10,19:57,pobranie,"63,34",101739587322,2026-08-15
2026-08-10,17:41,platnosc_punkt,"-95,68",101739413910,2026-08-15
2026-08-10,04:41,wyplata,"-180,6",,2026-08-15
2026-08-09,18:07,pobranie,"62,08",101738457428,2026-08-15
2026-08-09,18:03,pobranie,"147,54",101738470164,2026-08-15
2026-08-09,17:45,wyplata_gotowka,-200,,2026-08-15
2026-08-09,17:25,pobranie,"170,98",101738411843,2026-08-15
2026-08-09,04:39,wyplata,"-211,18",,2026-08-15
2026-08-08,19:32,pobranie,"39,24",101737556432,2026-08-15
2026-08-08,18:27,pobranie,"44,61",101737496153,2026-08-15
2026-08-08,13:50,pobranie,"51,7",101737174055,2026-08-15
2026-08-08,13:48,wyplata_gotowka,-100,,2026-08-15
2026-08-08,13:26,pobranie,67,101737137392,2026-08-15
2026-08-08,12:10,pobranie,"108,91",101737075869,2026-08-15
2026-08-08,07:35,wyplata_gotowka,-10,,2026-08-15
2026-08-08,04:52,wyplata,"-188,57",,2026-08-15
2026-08-07,19:26,pobranie,"100,27",101736543549,2026-08-15
2026-08-07,17:30,pobranie,"98,02",101736417366,2026-08-15
2026-08-07,04:41,wyplata,"-174,89",,2026-08-15
2026-08-06,18:00,pobranie,"110,98",101735473889,2026-08-15
2026-08-06,17:08,pobranie,"27,92",101735444412,2026-08-15
2026-08-06,15:50,pobranie,"35,99",101735350998,2026-08-15
2026-08-05,04:41,wyplata,"-7,02",,2026-08-15
